variant,base_model,normalization,iteration,macro_f1
dino_vits8_imagenet,dino_vits8,imagenet,92,82.78100044196663
dino_vits8_imagenet,dino_vits8,imagenet,93,86.76045665512551
dino_vits8_imagenet,dino_vits8,imagenet,94,83.93942616790918
dino_vits8_imagenet,dino_vits8,imagenet,95,84.98048265631041
dino_vits8_imagenet,dino_vits8,imagenet,96,86.16375831694455
dino_vits8_imagenet,dino_vits8,imagenet,97,85.9460958507945
dino_vits8_imagenet,dino_vits8,imagenet,98,85.34775824966681
dino_vits8_imagenet,dino_vits8,imagenet,99,85.40327526227713
dino_vits8_imagenet,dino_vits8,imagenet,100,85.74370652648437
dino_vitb16_dataset,dino_vitb16,dataset,1,81.810306686424
dino_vitb16_dataset,dino_vitb16,dataset,2,82.93215491149772
dino_vitb16_dataset,dino_vitb16,dataset,3,84.30376165382081
dino_vitb16_dataset,dino_vitb16,dataset,4,85.34334763390895
dino_vitb16_dataset,dino_vitb16,dataset,5,82.36854079668326
dino_vitb16_dataset,dino_vitb16,dataset,6,81.62279798089547
dino_vitb16_dataset,dino_vitb16,dataset,7,82.60105111629916
dino_vitb16_dataset,dino_vitb16,dataset,8,80.88987345950265
dino_vitb16_dataset,dino_vitb16,dataset,9,84.14420950819614
dino_vitb16_dataset,dino_vitb16,dataset,10,83.24683882867943
dino_vitb16_dataset,dino_vitb16,dataset,11,82.5905460018195
dino_vitb16_dataset,dino_vitb16,dataset,12,83.2059215354354
dino_vitb16_dataset,dino_vitb16,dataset,13,84.0208151679663
dino_vitb16_dataset,dino_vitb16,dataset,14,82.46339466603794
dino_vitb16_dataset,dino_vitb16,dataset,15,82.67142724419209
dino_vitb16_dataset,dino_vitb16,dataset,16,87.1935517997746
dino_vitb16_dataset,dino_vitb16,dataset,17,82.97161827994472
dino_vitb16_dataset,dino_vitb16,dataset,18,83.20782760385038
dino_vitb16_dataset,dino_vitb16,dataset,19,85.17460998807003
